Name,Position,Club,League,Pace,Shooting,Passing,Dribbling,Defense,Physical,Card Rating,Weak Foot,Skill Moves,Work Rates,Strong Foot,Futhead Card Link
Lucas Vázquez, RW , Real Madrid , Spain Primera Division ,82,73,79,81,58,69,81,4,4,High/Low,Right,https://www.futhead.com/20/players/1540/lucas-vazquez/
Gayà, LB , Valencia CF , Spain Primera Division ,85,61,77,80,75,69,81,3,4,High/Medium,Left,https://www.futhead.com/20/players/1491/gaya/
Moussa Sissoko, CM , Tottenham Hotspur , England Premier League ,80,70,78,79,79,89,81,3,3,High/High,Right,https://www.futhead.com/20/players/1477/moussa-sissoko/
Luka Milivojević, CDM , Crystal Palace , England Premier League ,55,67,76,68,78,84,81,2,2,Medium/High,Right,https://www.futhead.com/20/players/1456/luka-milivojevic/
Emre Can, CM , Piemonte Calcio , Italy Serie A ,70,68,77,79,81,84,81,4,3,Medium/Medium,Right,https://www.futhead.com/20/players/1398/emre-can/
Andrés Guardado, CM , Real Betis Balompi , Spain Primera Division ,68,68,81,82,72,68,81,2,4,Medium/Medium,Left,https://www.futhead.com/20/players/1381/andres-guardado/
Dani García, CM , Athletic Club de Bilbao , Spain Primera Division ,42,69,73,75,78,79,81,3,3,Medium/High,Right,https://www.futhead.com/20/players/1351/dani-garcia/
James Milner, CM , Liverpool , England Premier League ,61,70,82,78,77,78,81,4,3,High/High,Right,https://www.futhead.com/20/players/1350/james-milner/
Lautaro Martínez, ST , Inter , Italy Serie A ,81,77,68,82,40,83,81,4,4,High/Medium,Right,https://www.futhead.com/20/players/1331/lautaro-martinez/
Ryan Fraser, LM , Bournemouth , England Premier League ,90,73,78,83,46,61,81,4,3,High/Medium,Right,https://www.futhead.com/20/players/1288/ryan-fraser/
Franco Vázquez, CM , Sevilla FC , Spain Primera Division ,56,78,80,80,58,72,81,3,4,Medium/Medium,Left,https://www.futhead.com/20/players/1258/franco-vazquez/
Mousa Dembélé, CM , Guangzhou R F , China Super League ,73,68,77,87,77,80,81,2,4,Medium/Medium,Left,https://www.futhead.com/20/players/1229/mousa-dembele/
Henrikh Mkhitaryan, RM , Roma , Italy Serie A ,78,76,78,82,55,66,81,5,4,High/High,Right,https://www.futhead.com/20/players/1187/henrikh-mkhitaryan/
Matthias Ginter, CB , Borussia M gladbach , Germany Bundesliga ,62,58,69,65,82,77,81,3,2,Medium/Medium,Right,https://www.futhead.com/20/players/1134/matthias-ginter/
Luke Shaw, LB , Manchester United , England Premier League ,82,54,75,80,80,78,81,2,3,High/Medium,Left,https://www.futhead.com/20/players/1092/luke-shaw/
Piotr Zieliński, CM , Napoli , Italy Serie A ,81,72,81,83,70,61,81,5,4,Medium/Medium,Right,https://www.futhead.com/20/players/1077/piotr-zielinski/
José Fonte, CB , LOSC Lille , France Ligue ,36,38,54,61,81,76,81,3,2,Medium/High,Right,https://www.futhead.com/20/players/1076/jose-fonte/
Alessandro Florenzi, RB , Roma , Italy Serie A ,82,77,76,80,77,73,81,3,4,High/Medium,Right,https://www.futhead.com/20/players/1044/alessandro-florenzi/
Tanguy Ndombele, CM , Tottenham Hotspur , England Premier League ,80,65,78,87,70,78,81,3,4,Medium/Medium,Right,https://www.futhead.com/20/players/999/tanguy-ndombele/
Thiago Mendes, CDM , Olympique Lyonnais , France Ligue ,78,70,78,79,77,74,81,3,4,High/Medium,Right,https://www.futhead.com/20/players/946/thiago-mendes/
Kévin Gameiro, ST , Valencia CF , Spain Primera Division ,85,79,74,77,43,67,81,4,3,Medium/Medium,Right,https://www.futhead.com/20/players/938/kevin-gameiro/
Geoffrey Kondogbia, CM , Valencia CF , Spain Primera Division ,69,73,76,79,78,88,81,2,4,High/Medium,Left,https://www.futhead.com/20/players/922/geoffrey-kondogbia/
Łukasz Piszczek, RB , Borussia Dortmund , Germany Bundesliga ,77,68,75,73,82,78,81,4,2,Medium/Medium,Right,https://www.futhead.com/20/players/890/ukasz-piszczek/
Nicolas Nkoulou, CB , Torino , Italy Serie A ,70,44,64,70,82,74,81,3,2,Medium/Medium,Right,https://www.futhead.com/20/players/884/nicolas-nkoulou/
Houssem Aouar, CM , Olympique Lyonnais , France Ligue ,79,71,79,83,66,67,81,3,4,High/Medium,Right,https://www.futhead.com/20/players/804/houssem-aouar/
João Mário, CAM , Lokomotiv Moskva , Russia FUT League ,69,69,80,83,64,67,81,4,4,Medium/Medium,Right,https://www.futhead.com/20/players/800/joao-mario/
Luiz Gustavo, CDM , Fenerbah e , Turkey S per Lig ,58,60,69,70,80,82,81,3,3,Medium/High,Left,https://www.futhead.com/20/players/739/luiz-gustavo/
Pablo Fornals, CAM , West Ham United , England Premier League ,67,76,79,80,71,68,81,3,4,High/Medium,Right,https://www.futhead.com/20/players/699/pablo-fornals/
Alassane Plea, ST , Borussia M gladbach , Germany Bundesliga ,76,81,76,78,39,74,81,3,4,High/Medium,Right,https://www.futhead.com/20/players/624/alassane-plea/
Marcos Alonso, LB , Chelsea , England Premier League ,66,73,79,77,79,79,81,3,3,High/Low,Left,https://www.futhead.com/20/players/623/marcos-alonso/
Armando Izzo, CB , Torino , Italy Serie A ,68,33,48,65,83,75,81,4,2,Medium/Medium,Right,https://www.futhead.com/20/players/610/armando-izzo/
Marco Parolo, CDM , Lazio , Italy Serie A ,64,76,76,76,79,79,81,4,3,High/High,Right,https://www.futhead.com/20/players/602/marco-parolo/
Marcel Sabitzer, CAM , RB Leipzig , Germany Bundesliga ,74,80,76,79,57,77,81,4,3,High/High,Right,https://www.futhead.com/20/players/581/marcel-sabitzer/
Yussuf Poulsen, ST , RB Leipzig , Germany Bundesliga ,83,74,67,75,56,82,81,3,3,High/High,Right,https://www.futhead.com/20/players/554/yussuf-poulsen/
Victor Lindelöf, CB , Manchester United , England Premier League ,74,50,72,73,82,78,81,4,3,Medium/High,Right,https://www.futhead.com/20/players/505/victor-lindelof/
Abdoulaye Doucouré, CDM , Watford , England Premier League ,69,74,73,76,79,82,81,3,3,High/Medium,Right,https://www.futhead.com/20/players/480/abdoulaye-doucoure/
Wout Weghorst, ST , VfL Wolfsburg , Germany Bundesliga ,63,80,59,69,39,83,81,3,3,High/High,Right,https://www.futhead.com/20/players/199/wout-weghorst/
Raphaël Guerreiro, LM , Borussia Dortmund , Germany Bundesliga ,73,75,82,85,66,57,81,2,4,Medium/Medium,Left,https://www.futhead.com/20/players/178/raphael-guerreiro/
Marcelo Brozović, CDM , Inter , Italy Serie A ,64,73,79,80,76,73,81,4,3,Medium/High,Right,https://www.futhead.com/20/players/106/marcelo-brozovic/
Rafinha, CAM , RC Celta de Vigo , Spain Primera Division ,67,76,79,83,68,60,81,4,4,High/Medium,Left,https://www.futhead.com/20/players/29/rafinha/
Wilfred Ndidi, CDM , Leicester City , England Premier League ,71,62,67,74,83,82,81,4,3,Medium/High,Right,https://www.futhead.com/20/players/8/wilfred-ndidi/
Diego Rico, LB , Bournemouth , England Premier League ,80,64,77,75,80,80,80,2,3,Medium/Medium,Left,https://www.futhead.com/20/players/22575/diego-rico/
Ante Rebić, ST , Milan , Italy Serie A ,88,80,70,78,39,81,80,4,4,High/Medium,Right,https://www.futhead.com/20/players/22395/ante-rebic/
João Félix, CF , Atl tico de Madrid , Spain Primera Division ,82,80,74,81,40,70,80,4,5,High/Medium,Right,https://www.futhead.com/20/players/22382/joao-felix/
Cristian Tello, LM , Real Betis Balompi , Spain Primera Division ,89,75,76,81,48,61,80,4,4,Medium/Medium,Right,https://www.futhead.com/20/players/22380/cristian-tello/
Keita Baldé, RM , AS Monaco , France Ligue ,91,76,72,83,29,69,80,4,4,High/Low,Right,https://www.futhead.com/20/players/22299/keita-balde/
Dominik Szoboszlai, CAM , Red Bull Salzburg , Austria Bundesliga ,86,78,81,85,43,71,80,4,4,Medium/Low,Right,https://www.futhead.com/20/players/22154/dominik-szoboszlai/
Loïs Diony, ST , AS Saint tienne , France Ligue ,85,80,72,80,30,80,80,3,3,High/Low,Right,https://www.futhead.com/20/players/21780/lois-diony/
Nicolás Benedetti, CAM , Am rica , Mexico Liga MX ,82,75,77,82,50,70,80,3,4,Medium/Medium,Right,https://www.futhead.com/20/players/21777/nicolas-benedetti/
Nicolas De Préville, CAM , Girondins de Bordeaux , France Ligue ,83,80,80,83,40,74,80,3,3,High/Medium,Right,https://www.futhead.com/20/players/21776/nicolas-de-preville/
Agustín Bouzat, RM , V lez Sarsfield , Argentina Primera Divisi n ,95,75,74,83,62,76,80,3,3,High/High,Left,https://www.futhead.com/20/players/21756/agustin-bouzat/
Scott Arfield, LF , Rangers , Scotland Premiership ,73,78,78,80,68,78,80,3,3,High/High,Right,https://www.futhead.com/20/players/21755/scott-arfield/
Lukas Hinterseer, ST , Hamburger SV , Germany Bundesliga ,70,81,72,75,49,81,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/21468/lukas-hinterseer/
Ignacio Piatti, LW , San Lorenzo de Almagro , Argentina Primera Divisi n ,73,81,74,84,55,75,80,4,5,High/Medium,Right,https://www.futhead.com/20/players/21430/ignacio-piatti/
Daniel Bocanegra, LB , Libertad , CONMEBOL Libertadores ,79,62,75,71,80,82,80,2,2,Medium/High,Right,https://www.futhead.com/20/players/21354/daniel-bocanegra/
Leigh Griffiths, ST , Celtic , Scotland Premiership ,85,81,72,77,30,76,80,3,3,High/Medium,Left,https://www.futhead.com/20/players/21330/leigh-griffiths/
Gernot Trauner, CB , LASK , Austria Bundesliga ,74,63,68,69,78,91,80,3,2,Medium/Medium,Right,https://www.futhead.com/20/players/21190/gernot-trauner/
Pape Abou Cissé, CB , Olympiacos CFP , Greece A Ethniki ,83,38,47,49,79,90,80,2,2,Medium/High,Right,https://www.futhead.com/20/players/21182/pape-abou-cisse/
Jonathan David, ST , AA Gent , Belgium Jupiler Pro League ,87,80,71,81,31,67,80,5,3,Medium/Medium,Right,https://www.futhead.com/20/players/21122/jonathan-david/
Mathías Olivera, LB , Getafe CF , Spain Primera Division ,81,56,75,73,80,78,80,3,3,High/Medium,Left,https://www.futhead.com/20/players/21115/mathias-olivera/
Viktor Kovalenko, CAM , Shakhtar Donetsk , Ukraine Premier Liga ,81,80,78,79,65,78,80,4,3,Medium/Medium,Right,https://www.futhead.com/20/players/21114/viktor-kovalenko/
Ianis Hagi, RF , Rangers , Scotland Premiership ,86,75,77,81,42,74,80,5,3,High/Medium,Right,https://www.futhead.com/20/players/21103/ianis-hagi/
Steven Nzonzi, CDM , Stade Rennais , France Ligue ,42,55,71,69,79,86,80,3,2,Medium/Medium,Right,https://www.futhead.com/20/players/20897/steven-nzonzi/
Fedor Smolov, ST , RC Celta de Vigo , Spain Primera Division ,86,81,70,76,32,73,80,4,4,High/Medium,Right,https://www.futhead.com/20/players/20896/fedor-smolov/
Ricardo Rodríguez, LB , PSV , Holland Eredivisie ,70,67,79,76,78,74,80,3,3,Medium/Medium,Left,https://www.futhead.com/20/players/20895/ricardo-rodriguez/
Krzysztof Piątek, ST , Hertha BSC , Germany Bundesliga ,76,80,53,73,38,71,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/20894/krzysztof-piatek/
Danny Rose, LB , Newcastle United , England Premier League ,77,62,74,79,80,75,80,3,3,Medium/High,Left,https://www.futhead.com/20/players/20893/danny-rose/
Marcus Thuram, ST , Borussia M gladbach , Germany Bundesliga ,84,80,70,80,48,80,80,3,3,High/Low,Right,https://www.futhead.com/20/players/20152/marcus-thuram/
Jack Grealish, CAM , Aston Villa , England Premier League ,76,69,77,81,46,60,80,3,4,Medium/Medium,Right,https://www.futhead.com/20/players/20151/jack-grealish/
Reguilón, LB , Sevilla FC , Spain Primera Division ,86,50,71,77,76,70,80,3,2,High/Medium,Left,https://www.futhead.com/20/players/20150/reguilon/
Fabian Frei, CM , FC Basel , Switzerland Super League ,71,77,81,79,79,80,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/20069/fabian-frei/
Saïd Benrahma, LW , Brentford , England EFL Championship ,85,80,81,83,41,56,80,4,4,High/Low,Right,https://www.futhead.com/20/players/19449/said-benrahma/
Mattia Caldara, CB , Atalanta , Italy Serie A ,64,34,46,63,83,74,80,3,2,Medium/High,Right,https://www.futhead.com/20/players/19448/mattia-caldara/
Odriozola, RB , Bayern M nchen , Germany Bundesliga ,89,53,71,76,77,69,80,3,3,High/Medium,Right,https://www.futhead.com/20/players/19447/odriozola/
Mattia Caldara, CB , Atalanta , Italy Serie A ,64,34,46,63,83,74,80,3,2,Medium/High,Right,https://www.futhead.com/20/players/19437/mattia-caldara/
Odriozola, RB , Bayern M nchen , Germany Bundesliga ,89,53,71,76,77,69,80,3,3,High/Medium,Right,https://www.futhead.com/20/players/19436/odriozola/
Kevin Vogt, CB , Werder Bremen , Germany Bundesliga ,73,57,71,67,80,79,80,3,2,High/Medium,Right,https://www.futhead.com/20/players/19435/kevin-vogt/
Daniel James, ST , Manchester United , England Premier League ,96,75,76,81,31,66,80,4,3,High/Medium,Right,https://www.futhead.com/20/players/19347/daniel-james/
Martin Ødegaard, RW , Real Sociedad , Spain Primera Division ,76,72,84,86,42,51,80,2,5,Medium/Medium,Left,https://www.futhead.com/20/players/19325/martin-degaard/
Anselmo, CDM , Al Wehda , Saudi Dawry Jameel League ,73,70,71,72,79,84,80,2,3,Medium/High,Right,https://www.futhead.com/20/players/19262/anselmo/
Javier Mascherano, CDM , Estudiantes de La Plata , Argentina Primera Divisi n ,66,53,72,69,79,75,80,3,2,Low/High,Right,https://www.futhead.com/20/players/18845/javier-mascherano/
Julian Weigl, CDM , SL Benfica , Portugal Liga NOS ,61,47,75,76,78,66,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/18823/julian-weigl/
Munas Dabbur, ST , TSG Hoffenheim , Germany Bundesliga ,75,78,65,77,32,72,80,4,4,Medium/Low,Right,https://www.futhead.com/20/players/18820/munas-dabbur/
Julian Weigl, CDM , SL Benfica , Portugal Liga NOS ,61,47,75,76,78,66,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/18819/julian-weigl/
Wayne Rooney, ST , Derby County , England EFL Championship ,64,81,80,76,56,76,80,4,3,Medium/High,Right,https://www.futhead.com/20/players/18809/wayne-rooney/
Florian Niederlechner, ST , FC Augsburg , Germany Bundesliga ,76,81,64,76,40,82,80,4,3,High/High,Right,https://www.futhead.com/20/players/18481/florian-niederlechner/
Jean-Pierre Nsame, ST , BSC Young Boys , Switzerland Super League ,83,81,55,77,32,79,80,4,3,Medium/Medium,Right,https://www.futhead.com/20/players/18235/jean-pierre-nsame/
Nicolò Zaniolo, RW , Roma , Italy Serie A ,79,73,74,81,64,82,80,3,3,Medium/Medium,Left,https://www.futhead.com/20/players/18165/nicolo-zaniolo/
Alex Král, CDM , Spartak Moskva , Russia FUT League ,81,75,74,80,76,83,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/18159/alex-kral/
Victor Osimhen, ST , LOSC Lille , France Ligue ,89,80,68,76,42,82,80,4,3,High/High,Right,https://www.futhead.com/20/players/18157/victor-osimhen/
Rouwen Hennings, ST , Fortuna D sseldorf , Germany Bundesliga ,71,83,68,73,45,83,80,3,3,High/High,Left,https://www.futhead.com/20/players/18119/rouwen-hennings/
Henry Martín, CF , Am rica , Mexico Liga MX ,82,78,72,80,43,75,80,3,3,High/Low,Right,https://www.futhead.com/20/players/18118/henry-martin/
Camillo Ciano, ST , Frosinone , Italy Serie B ,85,81,79,83,33,68,80,4,4,Medium/Medium,Left,https://www.futhead.com/20/players/18045/camillo-ciano/
Andreas Cornelius, ST , Parma , Italy Serie A ,70,81,61,72,46,84,80,3,3,High/Low,Left,https://www.futhead.com/20/players/17927/andreas-cornelius/
Kurt Zouma, CB , Chelsea , England Premier League ,64,51,59,56,78,83,80,3,2,Medium/Medium,Right,https://www.futhead.com/20/players/17923/kurt-zouma/
Adama Traoré, RWB , Wolverhampton Wanderers , England Premier League ,97,71,68,85,40,81,80,2,4,High/Medium,Right,https://www.futhead.com/20/players/17798/adama-traore/
Ollie Watkins, ST , Brentford , England EFL Championship ,87,78,74,79,49,67,80,3,3,High/Medium,Right,https://www.futhead.com/20/players/17771/ollie-watkins/
Islam Slimani, ST , AS Monaco , France Ligue ,57,79,73,73,50,84,80,3,2,High/High,Right,https://www.futhead.com/20/players/17767/islam-slimani/
Luis Muriel, ST , Atalanta , Italy Serie A ,88,76,68,83,27,68,80,4,4,High/Medium,Right,https://www.futhead.com/20/players/17728/luis-muriel/
Marcos Llorente, CDM , Atl tico de Madrid , Spain Primera Division ,58,50,73,72,77,73,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/17702/marcos-llorente/
Kieran Trippier, RB , Atl tico de Madrid , Spain Primera Division ,74,60,81,76,78,72,80,4,3,High/Medium,Right,https://www.futhead.com/20/players/17701/kieran-trippier/
Šime Vrsaljko, RB , Atl tico de Madrid , Spain Primera Division ,77,55,74,75,79,77,80,3,3,High/Medium,Right,https://www.futhead.com/20/players/17700/sime-vrsaljko/
Mario Hermoso, CB , Atl tico de Madrid , Spain Primera Division ,79,49,72,71,79,77,80,3,2,High/Medium,Left,https://www.futhead.com/20/players/17699/mario-hermoso/
João Félix, CF , Atl tico de Madrid , Spain Primera Division ,82,80,74,81,40,70,80,4,5,High/Medium,Right,https://www.futhead.com/20/players/17698/joao-felix/
Gabriel, CM , SL Benfica , Portugal Liga NOS ,63,74,77,79,76,83,80,5,3,Medium/High,Left,https://www.futhead.com/20/players/17653/gabriel/
Rúben Dias, CB , SL Benfica , Portugal Liga NOS ,64,38,50,60,81,83,80,4,2,Medium/High,Right,https://www.futhead.com/20/players/17652/ruben-dias/
Andreas Christensen, CB , Chelsea , England Premier League ,68,31,63,69,82,72,80,3,2,Low/Medium,Right,https://www.futhead.com/20/players/17629/andreas-christensen/
Hans Vanaken, CAM , Club Brugge , Belgium Jupiler Pro League ,48,76,81,77,65,73,80,5,4,High/High,Right,https://www.futhead.com/20/players/17619/hans-vanaken/
Julian Weigl, CDM , Borussia Dortmund , Germany Bundesliga ,61,47,75,76,78,66,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/17588/julian-weigl/
Sofiane Feghouli, RM , Galatasaray , Turkey S per Lig ,86,72,74,82,34,64,80,3,4,High/Low,Right,https://www.futhead.com/20/players/17579/sofiane-feghouli/
Steven Nzonzi, CDM , Galatasaray , Turkey S per Lig ,42,55,71,69,79,86,80,3,2,Medium/Medium,Right,https://www.futhead.com/20/players/17578/steven-nzonzi/
Younès Belhanda, CAM , Galatasaray , Turkey S per Lig ,73,76,78,83,57,71,80,4,4,Medium/Medium,Right,https://www.futhead.com/20/players/17577/younes-belhanda/
Matias Vecino, CDM , Inter , Italy Serie A ,67,68,77,80,76,74,80,3,4,High/High,Right,https://www.futhead.com/20/players/17546/matias-vecino/
Nicolò Barella, CM , Inter , Italy Serie A ,76,66,78,80,74,69,80,3,3,Medium/High,Right,https://www.futhead.com/20/players/17545/nicolo-barella/
Marcel Halstenberg, LB , RB Leipzig , Germany Bundesliga ,69,66,72,72,80,80,80,3,3,High/Medium,Left,https://www.futhead.com/20/players/17504/marcel-halstenberg/
Sven Bender, CB , Bayer Leverkusen , Germany Bundesliga ,65,51,62,61,82,77,80,4,2,Medium/High,Right,https://www.futhead.com/20/players/17481/sven-bender/
Lars Bender, RB , Bayer Leverkusen , Germany Bundesliga ,65,64,72,72,83,77,80,3,2,Medium/High,Right,https://www.futhead.com/20/players/17480/lars-bender/
Dejan Lovren, CB , Liverpool , England Premier League ,54,40,59,63,80,78,80,4,2,Medium/High,Right,https://www.futhead.com/20/players/17458/dejan-lovren/
Alex Oxlade-Chamberlain, CM , Liverpool , England Premier League ,82,73,78,83,66,73,80,4,4,High/High,Right,https://www.futhead.com/20/players/17457/alex-oxlade-chamberlain/
Joe Gomez, CB , Liverpool , England Premier League ,81,30,64,68,79,76,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/17456/joe-gomez/
Fedor Smolov, ST , Lokomotiv Moskva , Russia FUT League ,86,81,70,76,32,73,80,4,4,High/Medium,Right,https://www.futhead.com/20/players/17448/fedor-smolov/
Moussa Dembélé, ST , Olympique Lyonnais , France Ligue ,82,77,61,76,30,81,80,3,4,High/Medium,Right,https://www.futhead.com/20/players/17423/moussa-dembele/
Benjamin Mendy, LB , Manchester City , England Premier League ,81,51,77,77,77,77,80,3,3,High/Low,Left,https://www.futhead.com/20/players/17395/benjamin-mendy/
Faouzi Ghoulam, LB , Napoli , Italy Serie A ,75,64,77,77,78,73,80,4,3,High/Medium,Left,https://www.futhead.com/20/players/17380/faouzi-ghoulam/
Elseid Hysaj, RB , Napoli , Italy Serie A ,79,51,68,75,78,74,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/17379/elseid-hysaj/
Mathieu Valbuena, LM , Olympiacos CFP , Greece A Ethniki ,77,75,80,82,34,48,80,3,3,High/Medium,Right,https://www.futhead.com/20/players/17371/mathieu-valbuena/
Bernat, LB , Paris Saint Germain , France Ligue ,82,61,78,85,74,66,80,3,4,High/Medium,Left,https://www.futhead.com/20/players/17350/bernat/
Leandro Paredes, CM , Paris Saint Germain , France Ligue ,71,67,81,79,72,74,80,4,4,Medium/Medium,Right,https://www.futhead.com/20/players/17349/leandro-paredes/
Ferland Mendy, LB , Real Madrid , Spain Primera Division ,89,64,73,79,75,81,80,5,4,High/Medium,Left,https://www.futhead.com/20/players/17326/ferland-mendy/
Odriozola, RB , Real Madrid , Spain Primera Division ,89,53,71,76,77,69,80,3,3,High/Medium,Right,https://www.futhead.com/20/players/17325/odriozola/
Taras Stepanenko, CDM , Shakhtar Donetsk , Ukraine Premier Liga ,67,61,72,70,78,80,80,3,3,Medium/High,Left,https://www.futhead.com/20/players/17315/taras-stepanenko/
Ismaily, LB , Shakhtar Donetsk , Ukraine Premier Liga ,82,66,74,81,75,75,80,2,4,High/Medium,Left,https://www.futhead.com/20/players/17314/ismaily/
Danny Rose, LB , Tottenham Hotspur , England Premier League ,77,62,74,79,80,75,80,3,3,Medium/High,Left,https://www.futhead.com/20/players/17294/danny-rose/
Erik Lamela, RM , Tottenham Hotspur , England Premier League ,75,77,79,82,51,72,80,2,4,High/High,Left,https://www.futhead.com/20/players/17293/erik-lamela/
Harry Winks, CM , Tottenham Hotspur , England Premier League ,70,58,77,83,71,66,80,3,3,Medium/High,Right,https://www.futhead.com/20/players/17292/harry-winks/
Francis Coquelin, CM , Valencia CF , Spain Primera Division ,70,66,75,78,78,77,80,3,3,Medium/High,Right,https://www.futhead.com/20/players/17276/francis-coquelin/
Carlos Soler, RM , Valencia CF , Spain Primera Division ,77,74,81,78,62,68,80,4,3,Medium/Medium,Right,https://www.futhead.com/20/players/17275/carlos-soler/
Maximiliano Gómez, ST , Valencia CF , Spain Primera Division ,64,80,68,73,32,79,80,3,3,High/Low,Right,https://www.futhead.com/20/players/17274/maximiliano-gomez/
Daniel Wass, CM , Valencia CF , Spain Primera Division ,73,77,81,77,76,75,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/17273/daniel-wass/
João Félix, CF , Atl tico de Madrid , Spain Primera Division ,82,80,74,81,40,70,80,4,5,High/Medium,Right,https://www.futhead.com/20/players/17218/joao-felix/
Rúben Dias, CB , SL Benfica , Portugal Liga NOS ,64,38,50,60,81,83,80,4,2,Medium/High,Right,https://www.futhead.com/20/players/13165/ruben-dias/
Moussa Marega, ST , FC Porto , Portugal Liga NOS ,88,79,63,65,41,90,80,3,3,High/Medium,Right,https://www.futhead.com/20/players/10034/moussa-marega/
Mattia Caldara, CB , Milan , Italy Serie A ,64,34,46,63,83,74,80,3,2,Medium/High,Right,https://www.futhead.com/20/players/8575/mattia-caldara/
Iván Marcone, CDM , Buenos Aires , Argentina Primera Divisi n ,55,58,73,79,75,83,80,3,4,Medium/High,Right,https://www.futhead.com/20/players/7937/ivan-marcone/
Moussa Dembélé, ST , Olympique Lyonnais , France Ligue ,82,77,61,76,30,81,80,3,4,High/Medium,Right,https://www.futhead.com/20/players/7141/moussa-dembele/
Juan Fernando Quintero, CAM , N ez , Argentina Primera Divisi n ,73,77,81,83,37,50,80,2,4,High/Low,Left,https://www.futhead.com/20/players/6954/juan-fernando-quintero/
Munas Dabbur, ST , Sevilla FC , Spain Primera Division ,75,78,65,77,32,72,80,4,4,Medium/Low,Right,https://www.futhead.com/20/players/6629/munas-dabbur/
Gabriel, CM , SL Benfica , Portugal Liga NOS ,63,74,77,79,76,83,80,5,3,Medium/High,Left,https://www.futhead.com/20/players/6586/gabriel/
Leandro Paredes, CM , Paris Saint Germain , France Ligue ,71,67,81,79,72,74,80,4,4,Medium/Medium,Right,https://www.futhead.com/20/players/6461/leandro-paredes/
Taras Stepanenko, CDM , Shakhtar Donetsk , Ukraine Premier Liga ,67,61,72,70,78,80,80,3,3,Medium/High,Left,https://www.futhead.com/20/players/6404/taras-stepanenko/
Pozuelo, CAM , Toronto FC , USA Major League Soccer ,66,73,78,83,50,60,80,5,4,High/Medium,Right,https://www.futhead.com/20/players/6000/pozuelo/
Ismaily, LB , Shakhtar Donetsk , Ukraine Premier Liga ,82,66,74,81,75,75,80,2,4,High/Medium,Left,https://www.futhead.com/20/players/5588/ismaily/
Steven Berghuis, RW , Feyenoord , Holland Eredivisie ,78,77,81,81,36,62,80,2,3,Medium/Low,Left,https://www.futhead.com/20/players/5453/steven-berghuis/
Hans Vanaken, CAM , Club Brugge , Belgium Jupiler Pro League ,48,76,81,77,65,73,80,5,4,High/High,Right,https://www.futhead.com/20/players/5442/hans-vanaken/
Domagoj Vida, CB , Be ikta , Turkey S per Lig ,75,40,59,61,82,79,80,3,2,Medium/High,Right,https://www.futhead.com/20/players/5294/domagoj-vida/
Younès Belhanda, CAM , Galatasaray , Turkey S per Lig ,73,76,78,83,57,71,80,4,4,Medium/Medium,Right,https://www.futhead.com/20/players/4916/younes-belhanda/
Eduardo Salvio, RM , Buenos Aires , Argentina Primera Divisi n ,86,75,73,84,58,68,80,4,4,High/Medium,Right,https://www.futhead.com/20/players/4616/eduardo-salvio/
Hulk, RM , Shanghai SIPG , China Super League ,78,85,76,80,47,86,80,3,4,High/Medium,Left,https://www.futhead.com/20/players/4400/hulk/
Fedor Smolov, ST , Lokomotiv Moskva , Russia FUT League ,86,81,70,76,32,73,80,4,4,High/Medium,Right,https://www.futhead.com/20/players/4221/fedor-smolov/
Sofiane Feghouli, RM , Galatasaray , Turkey S per Lig ,86,72,74,82,34,64,80,3,4,High/Low,Right,https://www.futhead.com/20/players/4055/sofiane-feghouli/
Lucas Pratto, ST , N ez , Argentina Primera Divisi n ,71,79,72,75,58,86,80,3,4,High/Medium,Right,https://www.futhead.com/20/players/3996/lucas-pratto/
Mathieu Valbuena, LM , Olympiacos CFP , Greece A Ethniki ,77,75,80,82,34,48,80,3,3,High/Medium,Right,https://www.futhead.com/20/players/3566/mathieu-valbuena/
Marcelo Díaz, CDM , Racing Club de Avellaneda , Argentina Primera Divisi n ,59,67,81,75,74,75,80,3,3,Medium/High,Right,https://www.futhead.com/20/players/3546/marcelo-diaz/
Ignacio Piatti, LW , Montreal Impact , USA Major League Soccer ,73,81,74,84,55,75,80,4,5,High/Medium,Right,https://www.futhead.com/20/players/3505/ignacio-piatti/
André-Pierre Gignac, ST , Tigres U A N L , Mexico Liga MX ,69,82,71,72,43,83,80,3,3,Medium/Medium,Right,https://www.futhead.com/20/players/2952/andre-pierre-gignac/
Javier Mascherano, CDM , Hebei China Fortune , China Super League ,66,53,72,69,79,75,80,3,2,Low/High,Right,https://www.futhead.com/20/players/2841/javier-mascherano/
Nani, LW , Orlando City SC , USA Major League Soccer ,72,75,79,86,37,62,80,5,5,High/Medium,Right,https://www.futhead.com/20/players/2805/nani/
